CPM,uSv/h,Vcc
32,0.1006,5.24
fine loop
CPM,uSv/h,Vcc
24,0.0755,5.21
24,0.0755,5.26
20,0.0629,5.24
16,0.0503,5.19
28,0.0881,5.24
28,0.0881,5.21
40,0.1258,5.24
36,0.1132,5.19
24,0.0755,5.21
28,0.0881,5.21
32,0.1006,5.19
36,0.1132,5.24
24,0.0755,5.24
24,0.0755,5.19
20,0.0629,5.24
32,0.1006,5.24
24,0.0755,5.19
16,0.0503,5.24
8,0.0252,5.21
16,0.0503,5.21
32,0.1006,5.24
12,0.0377,5.19
28,0.0881,5.24
28,0.0881,5.24
20,0.0629,5.21
32,0.1006,5.26
24,0.0755,5.21
24,0.0755,5.21
12,0.0377,5.26
16,0.0503,5.24
16,0.0503,5.29
24,0.0755,5.24
20,0.0629,5.19
36,0.1132,5.24
24,0.0755,5.26
52,0.1635,5.31
16,0.0503,5.21
44,0.1384,5.21
40,0.1258,5.19
12,0.0377,5.24
16,0.0503,5.19
32,0.1006,5.29
20,0.0629,5.24
8,0.0252,5.21
28,0.0881,5.21
36,0.1132,5.26
36,0.1132,5.24
20,0.0629,5.24
24,0.0755,5.19
20,0.0629,5.24
fine loop
